Name,RewardRate,Category,Amex,MasterCard,Visa,Description
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,inactive,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,inactive,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,active,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Rituals Kungsbacka Kungsmässan,0.5000000000,Clothes/Fashion,inactive,active,inactive,"Rituals believe happiness can be found in the smallest of things. But all too often our lives are so busy that we forget to enjoy the moment. Rituals mission is to encourage you to slow down once in a while. Inspired by ancient Eastern traditions and with fragrances created by the finest perfumers, Rituals products help you to transform your daily routines like taking a shower, soaking in a warm bath and lighting a candle into more meaningful Rituals."
Rituals Gävle Gallerian Nian,0.5000000000,Clothes/Fashion,inactive,active,inactive,"Rituals believe happiness can be found in the smallest of things. But all too often our lives are so busy that we forget to enjoy the moment. Rituals mission is to encourage you to slow down once in a while. Inspired by ancient Eastern traditions and with fragrances created by the finest perfumers, Rituals products help you to transform your daily routines like taking a shower, soaking in a warm bath and lighting a candle into more meaningful Rituals."
Synoptik,0.5000000000,Clothes/Fashion,active,active,inactive,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Synoptik,0.5000000000,Clothes/Fashion,inactive,active,active,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Rituals Södertälje Kringlan,0.5000000000,Clothes/Fashion,inactive,active,inactive,"Rituals believe happiness can be found in the smallest of things. But all too often our lives are so busy that we forget to enjoy the moment. Rituals mission is to encourage you to slow down once in a while. Inspired by ancient Eastern traditions and with fragrances created by the finest perfumers, Rituals products help you to transform your daily routines like taking a shower, soaking in a warm bath and lighting a candle into more meaningful Rituals."
Rituals Jönköping Asces,0.5000000000,Clothes/Fashion,inactive,active,inactive,"Rituals believe happiness can be found in the smallest of things. But all too often our lives are so busy that we forget to enjoy the moment. Rituals mission is to encourage you to slow down once in a while. Inspired by ancient Eastern traditions and with fragrances created by the finest perfumers, Rituals products help you to transform your daily routines like taking a shower, soaking in a warm bath and lighting a candle into more meaningful Rituals."
Rituals Göteborg Kungsgatan,0.5000000000,Clothes/Fashion,inactive,active,inactive,"Rituals believe happiness can be found in the smallest of things. But all too often our lives are so busy that we forget to enjoy the moment. Rituals mission is to encourage you to slow down once in a while. Inspired by ancient Eastern traditions and with fragrances created by the finest perfumers, Rituals products help you to transform your daily routines like taking a shower, soaking in a warm bath and lighting a candle into more meaningful Rituals."
Rituals Nacka Sickla Köpkvarter,0.5000000000,Clothes/Fashion,inactive,inactive,inactive,"Rituals believe happiness can be found in the smallest of things. But all too often our lives are so busy that we forget to enjoy the moment. Rituals mission is to encourage you to slow down once in a while. Inspired by ancient Eastern traditions and with fragrances created by the finest perfumers, Rituals products help you to transform your daily routines like taking a shower, soaking in a warm bath and lighting a candle into more meaningful Rituals."
Rituals Örebro Vågen,0.5000000000,Clothes/Fashion,inactive,inactive,inactive,"Rituals believe happiness can be found in the smallest of things. But all too often our lives are so busy that we forget to enjoy the moment. Rituals mission is to encourage you to slow down once in a while. Inspired by ancient Eastern traditions and with fragrances created by the finest perfumers, Rituals products help you to transform your daily routines like taking a shower, soaking in a warm bath and lighting a candle into more meaningful Rituals."
Rituals Trollhättan SIBA-Huset,0.5000000000,Clothes/Fashion,inactive,active,inactive,"Rituals believe happiness can be found in the smallest of things. But all too often our lives are so busy that we forget to enjoy the moment. Rituals mission is to encourage you to slow down once in a while. Inspired by ancient Eastern traditions and with fragrances created by the finest perfumers, Rituals products help you to transform your daily routines like taking a shower, soaking in a warm bath and lighting a candle into more meaningful Rituals."
Synoptik,0.5000000000,Clothes/Fashion,inactive,inactive,inactive,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande tekn"
Synoptik,0.5000000000,Clothes/Fashion,inactive,active,inactive,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Lundbergs Handskar & Väskor,0.5000000000,Clothes/Fashion,inactive,inactive,inactive,"Lundbergs started in Lund in 1928, back then as a glove factory with its own little shop on the corner of Västra Mårtensgatan and Stora Södergatan where we sold what we manufactured. The store still exists today at the same address. In 1980 we also started selling bags in our glove store. Over the years we have opened a few more stores around Skåne. Today we have eleven stores located in Helsingborg, Malmö, Kristianstad, Ystad, Trelleborg, Arlöv and of course Lund. Lundbergs is a family company named after the glove maker Otto Lundberg, and is owned and operated today by Otto's daughter and granddaughter."
Lundbergs Handskar & Väskor,0.5000000000,Clothes/Fashion,inactive,inactive,inactive,"Lundbergs started in Lund in 1928, back then as a glove factory with its own little shop on the corner of Västra Mårtensgatan and Stora Södergatan where we sold what we manufactured. The store still exists today at the same address. In 1980 we also started selling bags in our glove store. Over the years we have opened a few more stores around Skåne. Today we have eleven stores located in Helsingborg, Malmö, Kristianstad, Ystad, Trelleborg, Arlöv and of course Lund. Lundbergs is a family company named after the glove maker Otto Lundberg, and is owned and operated today by Otto's daughter and granddaughter."
Synoptik,0.5000000000,Clothes/Fashion,inactive,inactive,inactive,"Vi på Synoptik vill alltid ge dig en positiv upplevelse när du köper glasögon, kontaktlinser och tillbehör. Våra skickliga optiker och glasögonstylister hjälper dig att hitta en lösning som passar din stil och plånbok. Hos Synoptik får du alltid bästa möjliga kvalitet i kombination med ledande teknik."
Airinum,0.5000000000,Clothes/Fashion,inactive,active,inactive,"Earn 50 points pr. 100 SEK when paying with a linked payment card at www.airinum.com.<br><br>Airinum offers innovative reusable masks, anti-bacterial bags & accessories and more. Our mission is to empower people with innovative products to live healthier lives as well as inspire people towards a more sustainable living, accelerating a cleaner tomorrow. Since 2015, we have been driving the innovation to redefine and elevate the standards of climate health-tech products.<br><br>Climate change is the greatest challenge of our time. It doesn’t just harm the planet, it poses an immediate threat to human health. Join us in the mission towards a cleaner tomorrow!"
Von Doren,0.5000000000,Clothes/Fashion,inactive,inactive,inactive,"Earn 50 Bonus points pr. 100 SEK when paying with a linked payment card online.<br><br>Norwegian brand Von Doren creates distinctive, high-quality timepieces with a touch of vintage flair. The company, established in 2016, takes much of its inspiration from the magnificent nature that surrounds Aalesund. The port town, which lies on the West coast of Norway, is surrounded by breathtaking fjords, mountains and waterfalls. It is also renowned for its unique Art Nouveau architecture, with its elegant lines and stone buildings influenced by American architecture and national romantic details."
Tailor Store,0.5000000000,Clothes/Fashion,inactive,active,inactive,"Earn 50 points pr. 100 SEK when paying with a linked card.<br><br>Get clothes that actually fit—without the middleman. With our fully owned production, you get high-quality, custom-made pieces at a better price. Built to last, made for real life, and tailored just for you."
Hellas Storstugan,0.5000000000,Restaurant/Bar/Café,inactive,active,active,"Dining, meetings and parties. Hellas Storstugan is beautifully situated in the Swedish countryside.<br/><br/>Please visit our website for the current menu, and instructions on how to find us."
Johan P,0.5000000000,Restaurant/Bar/Café,active,active,active,"Nothing new at Johan P. So it's been said for a few decades. But the truth is, every day brings fresh news from the sea. Nevertheless; well prepared dishes of seafood, white tablecloths, sparkling glasses, the din of conversation, a genuine and classical setting; these are ingredients that will always be cared for with reverence."
Aifur,0.5000000000,Restaurant/Bar/Café,active,active,active,Aifur is a restaurant and a feast hall at Västerlånggatan 68b in the center of the old town of Stockholm. Aifur is designed and decorated in pure Viking style and has a separate bar and a surprisingly high ceiling in the restaurant section. Come join us for a feast worthy of the Vikings!
Manfred´s Brasserie,0.5000000000,Restaurant/Bar/Café,active,active,active,"Manfreds Brasserie is a cozy restaurant with specialties from Austria and Switzerland, located in the popular Linnaeus area in Gothenburg. The environment is pleasantly informal with personalized service and the food are of recognized high standard at reasonable prices.<br/><br/>Although both the a la carte menu and the wine list is centered in the slightly more elegant cuisine of the Alps, the Swedish cuisine is a must in the lunch ours.  And our Sunday menus often have an international character. Since both of the owners come from Alpine countries we are of course also offer something for the schnitzel lovers on the menu!<br/><br/>Well met - Georges and Frederick with staff ."
Bistro Créme,0.5000000000,Restaurant/Bar/Café,active,active,active,"Bistro crème serves everything you could wish for until the late afternoon. If you have a private party or an after work get-together, you can rent the premises during evenings and weekends. Every day is a new experience at Bistro Crème so you will never have the same twice! We look forward to welcoming you at our restaurant."
Ceviche - Taste of Peru,0.5000000000,Restaurant/Bar/Café,inactive,active,active,"SWEDISH RAW MATERIALS × PERUVIAN TASTE<br/><br/>We love the South American food - especially the Peruvian. And the restaurant is our way of sharing tastes and impressions from one of the worlds best kitchens. We have drawn inspiration from our roots and travels in Peru and South America. Peruvian cuisine has reached unprecedented heights in cities around the world and now we want to take this success to Sweden and Gothenburg. We are driven by our motto ""para todo el mundo"", for the people. This is the best we know  we hope that you will like it as well.<br/><br/>/Robert & Luisa with la familia"
@ Steampunk Bar,0.5000000000,Restaurant/Bar/Café,inactive,active,active,"Welcome to Scandinavia's first Steampunk Bar and Restaurant!<br/><br/>Steampunk is a Victorian science fiction set during the 1800s industrialization. The mechanics and telecommunications are evolving as highlighted in the decor by gears and copper. The definition of steampunk varies. There is even a genre in music and literature. This subculture has had an impact around the world and can be seen in everything from the catering to the clothing design at the restaurant.<br/>@ Steampunk Bar is created to show what steampunk is, according to our definition."
Brasserie Makalös,0.5000000000,Restaurant/Bar/Café,inactive,active,active,"The food, the wine, the culture. Experience the soul of French cuisine in the heart of Stockholm.  If you are looking for a French experience outside of the ordinary you have to stop by our Brasserie Makalös. And as they say in French ""à bientôt"" or see you soon."
Restaurang Himalaya,0.5000000000,Restaurant/Bar/Café,active,active,active,"IMPORTANT NOTE:  We offer EuroBonus points for members with Silver, Gold, Diamond or Pandion cards<br/><br/>The Himalaya family has a lifelong experience in cooking and has stirred the pots for many years. And they always want to offer their customers the best from the Himalayan region and Nepalese kitchen. Restaurang Himalaya serve many vegetarian dishes, vegan dishes as well as classical meat dishes. Fresh ingredients of the best quality are used along with Nepalese herbs to create tasty dishes every day.<br/>Retsaurang Himalaya also offer special diet dishes such as lactose free, gluten free and dishes made especially for people with allergies. "
Bodelssons by the Sea,0.5000000000,Restaurant/Bar/Café,inactive,inactive,inactive,"Because we think that the quality of what you eat and drink is the most important thing in a meal, you get almost 100% organic ingredients in our restaurant. Plus a friendly, pleasant and relaxed atmosphere.<br/><br/>In Bodelssons kitchen we work with fixed 3-course menus. In the summer during high season we offer three different menus - which you can mix as you like - the rest of the year only one or two.<br/><br/>Table reservation are required before noon the same day. This does not apply if you are a hotel guest and have booked a package. Please note that the restaurant is always open to hotel guests, but the menu may be a bit limited during the off-season."
Agaton,0.5000000000,Restaurant/Bar/Café,active,active,active,"Agaton Restaurant offers fine Italian cuisine and first-class service in a warm and friendly environment. At us you choose among well-cooked meat and fish dishes. The kitchen also prepares fresh pasta, pizzas straight from the oven and other Italian delicacies for both children and adults.<br />We have quickly become the preferred choice for business dinners, family dinners and romantic dinners for two.<br /><br />Welcome!"
KOL & Cocktails Malmö,0.5000000000,Restaurant/Bar/Café,active,active,active,"KOL & Cocktails is a restaurant concept that started in Helsingborg 2015 and opened in Malmö 2017. KOL & Cocktails is a meeting place for those who want to eat and drink well in a nice atmosphere. Here, as a guest, you will always experience a nice evening, regardless of the focus of your visit. We aim to give you a complete experience where food, drinks, music, furnishings and the friendly staff all contributes to a holistic experience for the conscious guest."
KOL & Cocktails Helsingborg,0.5000000000,Restaurant/Bar/Café,active,active,active,"KOL & Cocktails is a restaurant concept that started in Helsingborg 2015 and opened in Malmö 2017. KOL & Cocktails is a meeting place for those who want to eat and drink well in a nice atmosphere. Here, as a guest, you will always experience a nice evening, regardless of the focus of your visit. We aim to give you a complete experience where food, drinks, music, furnishings and the friendly staff all contributes to a holistic experience for the conscious guest."
T/Bar,0.5000000000,Restaurant/Bar/Café,inactive,active,active,"Our restaurant and bar is always bustling  a place where locals and visitors come together. Behind the huge windows that offer unrivalled views over the Stockholm harbour youll find friends or colleagues enjoying great food and drink. The menu emphasizes local produce, fusing traditional Swedish cuisine with Mediterranean influences."
Restaurang Kommendören,0.5000000000,Restaurant/Bar/Café,active,active,active,"At Kommendören it is easy to be joyful. We are driven by love for really good food and nice atmosphere. Drop by for a drink, a beer, something to eat and enjoy the great neighborhood. Chances are that you stay longer than planned. On the menu we offer the dishes that we ourselves love most, independent of continent or trends. You are sure to find a favorite among our dishes. <br/> Welcome!"
Boqueria,0.5000000000,Restaurant/Bar/Café,active,active,active,Boqueria is two restaurants in one. The one part is called the Square and the other simply the Restaurant. Both serve food with influences from around the world in a Spanish tapas format.
Kalf & Hansen,0.5000000000,Restaurant/Bar/Café,active,active,active,"At Kalf & Hansen we offer quality Nordic fast food that we prepare solely from organic ingredients. We pride ourselves with offering delicious meat, fish and vegetarian meals that are all organic and prepared using seasonal ingredients. Many wonder if it's difficult to maintain everything a 100% organic, but at Kalf & Hansen we don't think so. We find it easy and enjoyable to cook sweet, delicious and healthy food and we believe that it's just a matter of deciding what is important for yourself and the future in order to cook organic. Of course our menu also offers completely lactose and gluten free meals."
Restaurang Háktet,0.5000000000,Restaurant/Bar/Café,active,active,active,"Restaurant Häktet (Restaurant Prison) is located in what used to be a prison for people who were never able to pay their debt. With a little imagination you can picture how the prisoners would nibble on a piece of hard bread while scratching the lice out of their hair.<br/><br/>Luckily the restaurant has been modernized into a unique and exciting dining experience, where guests are offered a wide selection of quality cocktails, wines and beers. Our bar often hosts specialized wine and beer tasting with visiting sommeliers and beer brewers. Guest can enjoy their drinks along with music entertainment either from a DJ or from the live music that performs six days a week."
Stadshuskällaren,0.5000000000,Restaurant/Bar/Café,active,active,active,"We create contemporary Swedish dishes with inspiration drawn from the wildlife of the north via the west coast's fish and seafood to the crops of the southern regions. We cherish Swedish culinary traditions and we work closely with our network of breeders, growers and producers throughout Sweden.<br/><br/>At Stadshuskällaren we pride ourselves on our sense of style and have taken great care in mixing contemporary Swedish design with well-preserved features from Stadshuskällarens original 1920s furnishings and fittings.<br/><br/>Magnus Santesson and our team wish you a warm welcome to Restaurant Stadshuskällaren."
Nya Carnegiebryggeriet,0.5000000000,Restaurant/Bar/Café,active,active,active,"It's hard for us to describe Nya Carnegiebryggeriet in few words, as it is too dear to us, but we'll try: We are a new brewery, a shiny new restaurant, a new experience, built and brewed by true passion, right in the midst of Stockholm.  For us Nya Carnegiebryggeriet is simply a dream come true.<br/><br/>Together with our handpicked brewer, we seek to provide our customers with exciting, innovative and fun beers that appeal to everyone.<br/><br/>From the beginning our vision was to create a utopia for beer lovers, so please come and visit us if you, like us, love beer!"
Knut Upplandsgatan,0.5000000000,Restaurant/Bar/Café,active,active,active,"Since Restaurant Knut moved in to Vasastan, the northern concept has been maintained as simple and consistent. The focus is on ingredients and dishes without oddities - the most important thing being how the food is cooked. Anyone who has been in the north of Sweden knows that the northern latitudes offer so much more than just game meat. In other words: Knut is not only a game restaurant, although the menu of course includes some game meat. There is something on the menu for everyone who is keen to get close to nature, in the middle of town."
Stina Bomans Matsal,0.5000000000,Restaurant/Bar/Café,active,active,active,"Food is, and always has been, a central part at Boman's and in the Boman family. Kristin's great grandmother Stina Boman ran the tavern Boman's Matsalar in Nyköping during the 1930s to 1950s. Kristin's mom Birgitta used to run around on the premecies and nurtured a dream of one day running her own tavern and hotel. The interest of food has been with the Boman family for generations. Our dear Karl-Åke often drives by in his canarie yellow Cadillac with nettles, morels and wild strawberries all depending on what is growing in Trosa's woods. Karl-Åke has faithfully picked and delivered the good stuff to Boman's for 25 years. Stina Boman's large meatballs will always be on our menu as well as other recipes from her tavern. We always prefer to use local ingredients for our dishes.<br/><br/>Stina Bomans Matsal is open for lunch Monday to Friday from 11.30 to 13.30 and on Saturdays between 12.30 to 15.00."
Katrinelund Gästgiveri och Sjökrog,0.5000000000,Restaurant/Bar/Café,active,active,active,"Enjoy the views over Lake Hjälmaren and delight your tastebuds with the kitchen's amazing gastronomy. We hope that our dedication, unpretentious approach and love for what we do combine to create a total experience that surpasses your expectations every time you visit."
UTÖ Värdshus Matsalar,0.5000000000,Restaurant/Bar/Café,inactive,active,active,"The history of Utö Värdshus begins in the late 19th century when the island was sold to a well to do gentleman known as ""Merchant Lewin"". Soon after his purchase, Lewin converted the northern portion of Utö from a sleepy mining community to a fashionable beach and spa resort complete with soirées and high society balls. Some of the more famous guests included the artist Anders Zorn, Hollywood film star Greta Garbo, author August Strindberg and even the Swedish music legend Evert Taube has performed and sung praises of our beautiful island.<br/>And so it began."
